adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
False,,98000000,Action;Adventure,,1408,tt0112760,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,Le Studio Canal+;Laurence Mark Productions;Metro-Goldwyn-Mayer (MGM);Carolco Pictures,,1995-12-22,10017322,119,en;la,Released,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,False,5.7,137,exotic island;treasure;map;ship;scalp;pirate
False,,4000000,Crime;Comedy,,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,Miramax Films;A Band Apart,,1995-12-09,4300000,98,en,Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,6.5,539,hotel;new year's eve;witch;bet;hotel room;sperm;los angeles;hoodlum;woman director;episode film
False,,0,Music;Drama;Family,,2054,tt0113862,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Hollywood Pictures;The Charlie Mopic Company;PolyGram Filmed Entertainment;Interscope Communications,,1995-12-29,106269971,137,en,Released,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",Mr. Holland's Opus,False,6.9,115,composer;mentor;deaf-mute;musical;apprentice;private life;music;disabled
False,,25000000,Romance;Drama;Comedy,,1909,tt0112883,en,Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",7.438934,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,New Line Cinema;American Zoetrope,,1994-10-01,22200000,97,en,Released,The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,Don Juan DeMarco,False,6.3,184,sex addiction;love;mental institution;patient;psychiatrist;don juan
False,,60000000,Horror;Romance,,628,tt0110148,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,/hldXwwViSfHJS0kIJr07KBGmHJI.jpg,Geffen Pictures,,1994-11-11,223664608,123,en;fr,Released,Drink from me and live forever,Interview with the Vampire,False,7.2,1558,paris;san francisco;vampire;plantation;pity;bite;fang vamp
False,,11000000,Adventure;Action;Science Fiction,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,Lucasfilm;Twentieth Century Fox Film Corporation,,1977-05-25,775398007,121,en,Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.1,6778,android;galaxy;hermit;death star;lightsaber;jedi;rescue mission;empire;rebellion;planet;smuggler;the force;space opera;galactic war;stormtrooper;totalitarianism
False,,0,Drama,,527,tt0110729,en,Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,/8QF48QS5lvtrhOclt22RFz3bSQm.jpg,Avalon Studios;New Zealand Film Commission;New Zealand On Air,,1994-09-02,2201126,99,en;mi,Released,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",Once Were Warriors,False,7.6,106,individual;slum;suicide;tattoo;alcohol;rape;tradition;loss of child;indigenous;despair;violent husband;ghetto;new zealand;maori;strong woman;lack of prospects;maori tradition;funeral;approved school ;crush;independent film;teacher;youth gang;domestic violence;violence;rebellious youth;alcohol abuse;incest;unemployment
False,,0,Drama;Mystery;Romance,,110,tt0111495,fr,Trois couleurs : Rouge,Red This is the third film from the trilogy by Kieślowski. “Red” meaning brotherliness. Here Kieślowski masterly tells strange coincidentally linked stories in the most packed work.,7.832755,/77CFEssoKesi4zvtADEpIrSKhA3.jpg,Zespół Filmowy TOR;Le Studio Canal+;France 3 Cinéma;Télévision Suisse-Romande,,1994-05-27,0,99,fr,Released,,Three Colors: Red,False,7.8,246,judge;isolation;mannequin;shadowing;english channel;geneva;travel;dog
False,,3000000,Drama;Comedy;Romance,,236,tt0110598,en,Muriel's Wedding,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.",5.254847,/qoZShHm8QTrHAR80LypwI0SYp8I.jpg,Ciby 2000;Film Victoria;House & Moorhouse Films,,1994-09-29,15119639,106,en,Released,Success is the best revenge.,Muriel's Wedding,False,6.9,104,individual;becoming an adult;dream;return;love of one's life;overweight;province;bathing;olympic games;empowerment;boredom;daughter;friendship
